,Pass_Types,Pass_Types,Pass_Types,Pass_Types,Pass_Types,Pass_Types,Pass_Types,Pass_Types,Corner_Kicks,Corner_Kicks,Corner_Kicks,Outcomes,Outcomes,Outcomes,Pass_Types,Pass_Types,Pass_Types,Pass_Types,Pass_Types,Pass_Types,Pass_Types,Pass_Types,Corner_Kicks,Corner_Kicks,Corner_Kicks,Outcomes,Outcomes,Outcomes
,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks,Live_Opp,Dead_Opp,FK_Opp,TB_Opp,Sw_Opp,Crs_Opp,TI_Opp,CK_Opp,In_Opp,Out_Opp,Str_Opp,Cmp_Opp,Off_Opp,Blocks_Opp
Arsenal,23347,1757,432,117,151,572,758,225,132,49,4,20878,89,413,14034,1791,444,58,130,666,744,180,85,37,23,11792,78,345
Bournemouth,15874,2036,534,37,112,707,857,218,104,65,1,13450,52,412,17750,1791,367,80,156,806,856,212,103,72,1,14958,122,405
Brighton,14549,1725,322,32,203,680,797,163,89,59,5,11838,98,355,19639,1916,471,42,112,802,863,228,107,69,12,17192,51,350
Burnley,13382,1858,463,19,107,707,822,167,69,66,14,10524,100,313,18139,1956,430,38,136,876,933,240,98,70,15,15271,54,400
Chelsea,21232,1761,445,69,203,755,748,230,54,76,7,18967,108,405,16864,1724,447,41,131,626,708,159,88,45,6,14641,55,343
Crystal Palace,14109,1949,456,30,83,703,874,210,85,37,68,11809,56,361,17972,1969,451,47,179,792,898,209,102,64,7,15474,76,448
Everton,14537,1853,417,25,114,629,850,150,70,62,7,11953,82,397,18034,2068,511,42,174,802,996,212,112,53,11,15346,59,367
Huddersfield,14785,1970,478,26,82,765,927,165,101,32,6,12036,67,415,18764,1974,415,57,125,637,1021,209,102,82,4,16103,118,418
Leicester City,15046,1986,424,63,170,744,954,203,137,28,0,12357,92,370,16777,1996,432,54,163,752,978,216,109,73,5,14205,79,445
Liverpool,23034,1796,391,106,146,764,896,230,122,69,1,20367,70,382,14426,1820,385,49,132,504,793,125,64,37,5,11830,97,388
Manchester City,28178,1716,418,118,213,691,779,284,17,141,2,26164,67,404,10316,1774,390,49,77,364,731,103,59,23,7,8395,97,321
Manchester Utd,19929,1848,456,85,176,753,809,220,111,65,1,17765,88,398,16006,1725,477,47,109,642,691,175,91,64,4,13672,52,349
Newcastle Utd,13725,1871,444,67,114,616,837,167,75,58,8,11071,63,355,19957,2007,448,55,200,805,972,223,105,74,11,17255,79,470
Southampton,17044,1910,423,56,169,800,862,227,130,65,7,14336,73,423,16181,1984,464,38,108,718,923,201,82,65,11,13666,46,421
Stoke City,12544,1938,460,33,111,598,875,136,73,46,11,10122,87,320,18959,2041,488,81,122,844,926,281,125,62,4,16444,90,397
Swansea City,15500,1899,472,23,141,694,825,150,99,36,2,13223,38,347,20064,1723,387,65,142,789,809,195,104,57,6,17707,79,378
Tottenham,21612,1995,483,83,196,825,948,246,95,89,7,19284,88,437,12718,1818,452,66,146,596,748,161,87,53,7,10279,113,360
Watford,15484,1955,484,27,138,713,926,183,92,62,2,12758,74,438,15973,1923,482,60,150,676,861,198,95,50,7,13459,117,333
West Brom,13059,1866,394,34,96,784,855,176,122,32,11,10495,79,348,20180,1871,487,62,235,783,835,176,80,43,9,17631,52,371
West Ham,14112,1988,482,51,134,733,900,161,98,37,5,11779,97,396,18329,1806,450,70,132,753,813,208,77,81,14,15856,54,380
