,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per_90_Minutes,Per_90_Minutes,Per_90_Minutes,Per_90_Minutes,Per_90_Minutes,Per_90_Minutes,Per_90_Minutes,Per_90_Minutes,Per_90_Minutes,Per_90_Minutes,Expected,Expected,Expected,Expected,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per_90_Minutes,Per_90_Minutes,Per_90_Minutes,Per_90_Minutes,Per_90_Minutes,Per_90_Minutes,Per_90_Minutes,Per_90_Minutes,Per_90_Minutes,Per_90_Minutes,Expected,Expected,Expected,Expected
,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,xG,npxG,xAG,npxG+xAG,Gls_Opp_Opp,Ast_Opp_Opp,G-PK_Opp_Opp,PK_Opp_Opp,PKatt_Opp_Opp,CrdY_Opp_Opp,CrdR_Opp_Opp,Gls_Opp_Opp,Ast_Opp_Opp,G+A_Opp_Opp,G-PK_Opp_Opp,G+A-PK_Opp_Opp,xG_Opp_Opp,xAG_Opp_Opp,xG+xAG_Opp_Opp,npxG_Opp_Opp,npxG+xAG_Opp_Opp,xG_Opp_Opp,npxG_Opp_Opp,xAG_Opp_Opp,npxG+xAG_Opp_Opp
Arsenal,73,61,69,4,5,,,1.92,1.61,3.53,1.82,3.42,1.8,1.4,3.2,1.69,3.1,68.3,64.3,53.3,117.6,51,38,46,5,6,52,4,1.34,1.0,2.34,1.21,2.21,1.26,0.87,2.12,1.13,2.0,47.8,43.1,32.9,75.9
Bournemouth,45,36,42,3,3,,,1.18,0.95,2.13,1.11,2.05,1.02,0.77,1.79,0.96,1.72,38.8,36.4,29.1,65.5,60,44,58,2,3,73,1,1.58,1.16,2.74,1.53,2.68,1.56,1.15,2.71,1.5,2.65,59.2,56.8,43.7,100.5
Brighton,33,25,28,5,7,,,0.87,0.66,1.53,0.74,1.39,0.97,0.69,1.66,0.84,1.53,37.0,31.8,26.2,58.0,49,36,48,1,3,30,2,1.29,0.95,2.24,1.26,2.21,1.34,0.9,2.23,1.27,2.17,50.8,48.4,34.1,82.5
Burnley,35,26,35,0,0,,,0.92,0.68,1.61,0.92,1.61,0.85,0.62,1.47,0.85,1.47,32.3,32.3,23.6,55.9,38,29,35,3,5,45,6,1.0,0.76,1.76,0.92,1.68,1.35,1.0,2.35,1.26,2.26,51.2,47.7,38.0,85.8
Chelsea,60,42,57,3,3,,,1.58,1.11,2.68,1.5,2.61,1.43,1.09,2.52,1.37,2.46,54.4,52.0,41.5,93.5,36,26,34,2,2,75,1,0.95,0.68,1.63,0.89,1.58,0.89,0.64,1.53,0.85,1.49,33.8,32.2,24.4,56.7
Crystal Palace,44,26,36,8,10,,,1.16,0.68,1.84,0.95,1.63,1.41,0.88,2.28,1.21,2.08,53.5,45.9,33.3,79.2,53,40,51,2,2,72,3,1.39,1.05,2.45,1.34,2.39,1.27,0.95,2.22,1.23,2.18,48.2,46.7,36.2,82.8
Everton,42,26,37,5,8,,,1.11,0.68,1.79,0.97,1.66,1.07,0.65,1.71,0.9,1.55,40.5,34.1,24.7,58.8,58,51,55,3,5,49,5,1.53,1.34,2.87,1.45,2.79,1.38,1.01,2.38,1.28,2.29,52.4,48.7,38.2,86.9
Huddersfield,25,19,23,2,2,,,0.66,0.5,1.16,0.61,1.11,0.82,0.62,1.45,0.78,1.41,31.3,29.8,23.7,53.5,57,41,53,4,6,56,4,1.5,1.08,2.58,1.39,2.47,1.28,0.85,2.13,1.15,2.0,48.5,43.8,32.4,76.1
Leicester City,53,38,48,5,6,,,1.39,1.0,2.39,1.26,2.26,1.32,0.92,2.24,1.19,2.11,50.0,45.3,34.9,80.2,58,47,56,2,4,52,1,1.53,1.24,2.76,1.47,2.71,1.27,0.97,2.23,1.18,2.15,48.1,45.0,36.7,81.7
Liverpool,82,58,80,2,3,,,2.16,1.53,3.68,2.11,3.63,1.92,1.39,3.31,1.86,3.24,72.9,70.6,52.7,123.3,38,23,34,4,6,50,0,1.0,0.61,1.61,0.89,1.5,0.89,0.57,1.46,0.76,1.33,33.8,29.0,21.6,50.6
Manchester City,103,85,97,6,8,,,2.71,2.24,4.95,2.55,4.79,2.07,1.52,3.59,1.91,3.44,78.6,72.7,57.9,130.6,25,17,25,0,2,77,3,0.66,0.45,1.11,0.66,1.11,0.63,0.43,1.06,0.59,1.02,23.8,22.2,16.4,38.7
Manchester Utd,67,53,66,1,3,,,1.76,1.39,3.16,1.74,3.13,1.47,1.07,2.53,1.4,2.47,55.7,53.3,40.5,93.8,26,18,25,1,1,69,1,0.68,0.47,1.16,0.66,1.13,1.07,0.81,1.88,1.05,1.86,40.7,39.9,30.9,70.8
Newcastle Utd,38,29,38,0,1,,,1.0,0.76,1.76,1.0,1.76,1.1,0.84,1.94,1.08,1.92,41.6,40.9,32.1,72.9,44,32,40,4,6,62,0,1.16,0.84,2.0,1.05,1.89,1.38,0.99,2.37,1.25,2.24,52.4,47.6,37.4,85.1
Southampton,36,23,33,3,3,,,0.95,0.61,1.55,0.87,1.47,1.05,0.78,1.83,0.99,1.76,39.9,37.6,29.5,67.0,56,43,55,1,2,51,2,1.47,1.13,2.61,1.45,2.58,1.19,0.89,2.08,1.15,2.03,45.2,43.6,33.7,77.3
