,Rk,Squad,MP,W,D,L,GF,GA,GD,Pts,Pts/MP,xG,xGA,xGD,xGD/90,Attendance,M_G_Indv
0,1,Manchester City,38,32,4,2,106,27,79,100,2.63,78.6,23.8,54.8,1.44,54070, 21
1,2,Manchester Utd,38,25,6,7,68,28,40,81,2.13,55.7,40.7,15.0,0.4,74976, 16
2,3,Tottenham,38,23,8,7,74,36,38,77,2.03,64.7,33.9,30.8,0.81,67953, 30
3,4,Liverpool,38,21,12,5,84,38,46,75,1.97,72.9,33.8,39.1,1.03,53049, 32
4,5,Chelsea,38,21,7,10,62,38,24,70,1.84,54.4,33.8,20.6,0.54,41282, 12
5,6,Arsenal,38,19,6,13,74,51,23,63,1.66,68.3,47.8,20.5,0.54,59323, 14
6,7,Burnley,38,14,12,12,36,39,-3,54,1.42,32.3,51.2,-18.9,-0.5,20688, 10
7,8,Everton,38,13,10,15,44,58,-14,49,1.29,40.5,52.4,-11.9,-0.31,38797, 10
8,9,Leicester City,38,12,11,15,56,60,-4,47,1.24,50.0,48.1,1.9,0.05,31583, 20
9,10,Newcastle Utd,38,12,8,18,39,47,-8,44,1.16,41.6,52.4,-10.8,-0.28,51992, 8
10,11,Crystal Palace,38,11,11,16,45,55,-10,44,1.16,53.5,48.2,5.2,0.14,25063, 10
11,12,Bournemouth,38,11,11,16,45,61,-16,44,1.16,38.8,59.2,-20.4,-0.54,10641, 8
12,13,West Ham,38,10,12,16,48,68,-20,42,1.11,36.7,55.1,-18.4,-0.48,56885, 11
13,14,Watford,38,11,8,19,44,64,-20,41,1.08,45.0,51.8,-6.8,-0.18,20231, 7
14,15,Brighton,38,9,13,16,34,54,-20,40,1.05,37.0,50.8,-13.8,-0.36,30403, 12
15,16,Huddersfield,38,9,10,19,28,58,-30,37,0.97,31.3,48.5,-17.2,-0.45,24040, 7
16,17,Southampton,38,7,15,16,37,56,-19,36,0.95,39.9,45.2,-5.3,-0.14,30794, 7
17,18,Swansea City,38,8,9,21,28,56,-28,33,0.87,31.6,58.6,-27.0,-0.71,20623, 7
18,19,Stoke City,38,7,12,19,35,68,-33,33,0.87,36.5,62.5,-26.0,-0.69,29280, 8
19,20,West Brom,38,6,13,19,31,56,-25,31,0.82,36.5,47.9,-11.4,-0.3,24520, 7
