Rk,Squads,MP,W,D,L,GF,GA,GD,Pts,Pts/MP,xG,xGA,xGD,xGD/90
1,Manchester City,19,14,2,3,38,11,27,44,2.32,34.2,11.3,23.0,1.21
2,Liverpool,19,13,5,1,34,12,22,44,2.32,31.6,15.6,16.0,0.84
3,Chelsea,19,9,3,7,24,27,-3,30,1.58,27.6,22.0,5.6,0.29
4,Tottenham,19,11,0,8,33,23,10,33,1.74,23.6,22.8,0.8,0.04
5,Arsenal,19,7,4,8,31,35,-4,25,1.32,25.5,30.7,-5.2,-0.27
6,Manchester Utd,19,9,3,7,32,29,3,30,1.58,29.7,29.0,0.6,0.03
7,Wolves,19,6,5,8,19,25,-6,23,1.21,20.9,23.2,-2.3,-0.12
8,Everton,19,5,5,9,24,25,-1,20,1.05,21.7,24.0,-2.3,-0.12
9,Leicester City,19,7,4,8,27,28,-1,25,1.32,26.1,23.8,2.3,0.12
10,West Ham,19,6,3,10,20,28,-8,21,1.11,22.5,38.6,-16.2,-0.85
11,Watford,19,6,5,8,26,31,-5,23,1.21,25.2,30.0,-4.8,-0.25
12,Crystal Palace,19,9,2,8,32,30,2,29,1.53,19.5,26.6,-7.2,-0.38
13,Newcastle Utd,19,4,8,7,18,23,-5,20,1.05,16.5,28.3,-11.9,-0.62
14,Bournemouth,19,5,1,13,26,45,-19,16,0.84,25.6,32.0,-6.4,-0.34
15,Burnley,19,4,5,10,21,36,-15,17,0.89,18.8,35.7,-16.9,-0.89
16,Southampton,19,4,4,11,18,35,-17,16,0.84,22.3,30.1,-7.8,-0.41
17,Brighton,19,3,4,12,16,32,-16,13,0.68,15.4,35.1,-19.7,-1.04
18,Cardiff City,19,4,2,13,13,31,-18,14,0.74,17.8,35.9,-18.2,-0.96
19,Fulham,19,1,2,16,12,45,-33,5,0.26,17.3,40.4,-23.1,-1.22
20,Huddersfield,19,1,4,14,12,45,-33,7,0.37,12.6,32.9,-20.3,-1.07
