Rk,Squads,MP,W,D,L,GF,GA,GD,Pts,Pts/MP,xG,xGA,xGD,xGD/90
1,Manchester City,19,18,0,1,57,12,45,54,2.84,50.1,13.5,36.6,1.93
2,Liverpool,19,17,2,0,55,10,45,53,2.79,42.2,13.2,28.9,1.52
3,Chelsea,19,12,6,1,39,12,27,42,2.21,31.0,14.4,16.6,0.87
4,Tottenham,19,12,2,5,34,16,18,38,2.0,31.3,24.3,6.9,0.36
5,Arsenal,19,14,3,2,42,16,26,45,2.37,34.6,23.5,11.0,0.58
6,Manchester Utd,19,10,6,3,33,25,8,36,1.89,31.8,21.6,10.2,0.54
7,Wolves,19,10,4,5,28,21,7,34,1.79,31.3,18.9,12.4,0.65
8,Everton,19,10,4,5,30,21,9,34,1.79,28.0,21.7,6.2,0.33
9,Leicester City,19,8,3,8,24,20,4,27,1.42,26.3,19.9,6.5,0.34
10,West Ham,19,9,4,6,32,27,5,31,1.63,25.2,23.3,1.9,0.1
11,Watford,19,8,3,8,26,28,-2,27,1.42,23.1,29.2,-6.2,-0.32
12,Crystal Palace,19,5,5,9,19,23,-4,20,1.05,28.1,23.5,4.7,0.25
13,Newcastle Utd,19,8,1,10,24,25,-1,25,1.32,22.6,25.2,-2.6,-0.14
14,Bournemouth,19,8,5,6,30,25,5,29,1.53,27.7,25.2,2.5,0.13
15,Burnley,19,7,2,10,24,32,-8,23,1.21,25.6,26.3,-0.8,-0.04
16,Southampton,19,5,8,6,27,30,-3,23,1.21,24.6,25.0,-0.4,-0.02
17,Brighton,19,6,5,8,19,28,-9,23,1.21,19.9,24.0,-4.1,-0.22
18,Cardiff City,19,6,2,11,21,38,-17,20,1.05,24.6,25.5,-1.0,-0.05
19,Fulham,19,6,3,10,22,36,-14,21,1.11,24.0,27.8,-3.7,-0.2
20,Huddersfield,19,2,3,14,10,31,-21,9,0.47,16.2,28.0,-11.8,-0.62
