,Tackles,Tackles,Tackles,Tackles,Tackles,Vs_Dribbles,Vs_Dribbles,Vs_Dribbles,Vs_Dribbles,Blocks,Blocks,Blocks,Advanced_Defending,Advanced_Defending,Advanced_Defending,Advanced_Defending,Tackles,Tackles,Tackles,Tackles,Tackles,Vs_Dribbles,Vs_Dribbles,Vs_Dribbles,Vs_Dribbles,Blocks_Opp,Blocks_Opp,Blocks_Opp,Advanced_Defending,Advanced_Defending,Advanced_Defending,Advanced_Defending
,Tkl,TklW,Def_3rd,Mid_3rd,Att_3rd,Tkl,Att,Tkl%,Past,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Tkl_Opp,TklW_Opp,Def_3rd_Opp,Mid_3rd_Opp,Att_3rd_Opp,Tkl_Opp,Att_Opp,Tkl%_Opp,Past_Opp,Blocks_Opp,Sh_Opp,Pass_Opp,Int_Opp,Tkl+Int_Opp,Clr_Opp,Err_Opp
Arsenal,584,336,296,217,71,249,612,40.7,363,398,141,257,351,935,754,18,656.0,388.0,317.0,242.0,97.0,286.0,697.0,41.0,411.0,354.0,100.0,254.0,425.0,1081.0,722.0,19.0
Aston Villa,523,291,285,174,64,223,597,37.4,374,456,184,272,423,946,928,26,530.0,315.0,248.0,206.0,76.0,217.0,569.0,38.1,352.0,353.0,115.0,238.0,346.0,876.0,785.0,14.0
Bournemouth,507,299,254,206,47,207,567,36.5,360,439,160,279,475,982,1008,16,661.0,389.0,299.0,265.0,97.0,277.0,602.0,46.0,325.0,443.0,117.0,326.0,402.0,1063.0,824.0,15.0
Brighton,641,379,295,269,77,245,642,38.2,397,437,137,300,419,1060,750,15,648.0,385.0,329.0,250.0,69.0,249.0,584.0,42.6,335.0,426.0,126.0,300.0,428.0,1076.0,748.0,16.0
Burnley,547,344,238,241,68,240,585,41.0,345,450,175,275,387,934,901,15,499.0,319.0,235.0,219.0,45.0,208.0,454.0,45.8,246.0,285.0,91.0,194.0,293.0,792.0,841.0,20.0
Chelsea,638,362,304,258,76,246,604,40.7,358,361,91,270,459,1097,631,14,672.0,381.0,325.0,269.0,78.0,258.0,718.0,35.9,460.0,471.0,179.0,292.0,434.0,1106.0,950.0,20.0
Crystal Palace,686,390,367,244,75,316,711,44.4,395,399,135,264,444,1130,856,18,745.0,425.0,383.0,287.0,75.0,266.0,698.0,38.1,432.0,370.0,100.0,270.0,449.0,1194.0,712.0,14.0
Everton,671,408,328,262,81,282,672,42.0,390,372,111,261,408,1079,778,13,580.0,358.0,273.0,238.0,69.0,235.0,609.0,38.6,374.0,415.0,127.0,288.0,383.0,963.0,846.0,13.0
Leicester City,742,432,347,320,75,298,725,41.1,427,420,92,328,423,1165,767,16,639.0,402.0,299.0,255.0,85.0,311.0,688.0,45.2,377.0,416.0,137.0,279.0,432.0,1071.0,836.0,17.0
Liverpool,550,325,195,243,112,217,588,36.9,371,302,68,234,352,902,634,25,577.0,346.0,345.0,190.0,42.0,271.0,658.0,41.2,387.0,437.0,159.0,278.0,456.0,1033.0,1147.0,33.0
Manchester City,514,301,204,210,100,230,605,38.0,375,292,66,226,352,866,495,21,575.0,337.0,360.0,173.0,42.0,234.0,721.0,32.5,487.0,468.0,220.0,248.0,477.0,1052.0,1000.0,24.0
Manchester Utd,579,333,267,231,81,254,634,40.1,380,360,99,261,379,958,703,14,697.0,385.0,348.0,272.0,77.0,301.0,747.0,40.3,446.0,444.0,124.0,320.0,485.0,1182.0,721.0,21.0
Newcastle Utd,603,357,364,198,41,273,632,43.2,359,402,152,250,391,994,988,19,562.0,334.0,248.0,239.0,75.0,274.0,674.0,40.7,400.0,365.0,114.0,251.0,341.0,903.0,616.0,7.0
Norwich City,628,379,359,210,59,267,700,38.1,433,453,171,282,397,1025,959,20,684.0,400.0,291.0,275.0,118.0,278.0,705.0,39.4,427.0,444.0,120.0,324.0,430.0,1114.0,602.0,13.0
Sheffield Utd,611,377,304,229,78,261,646,40.4,385,336,106,230,420,1031,931,16,481.0,296.0,277.0,167.0,37.0,188.0,534.0,35.2,346.0,334.0,90.0,244.0,351.0,832.0,903.0,15.0
Southampton,706,416,325,287,94,324,793,40.9,469,488,124,364,425,1131,867,21,619.0,362.0,337.0,232.0,50.0,257.0,680.0,37.8,423.0,407.0,130.0,277.0,428.0,1047.0,824.0,22.0
Tottenham,665,415,331,281,53,253,681,37.2,428,441,148,293,381,1046,894,24,734.0,410.0,318.0,326.0,90.0,297.0,746.0,39.8,449.0,409.0,121.0,288.0,450.0,1184.0,777.0,17.0
Watford,657,369,347,249,61,267,713,37.4,446,396,135,261,424,1081,869,4,603.0,351.0,319.0,210.0,74.0,254.0,575.0,44.2,321.0,363.0,124.0,239.0,386.0,989.0,818.0,25.0
West Ham,696,417,374,263,59,300,745,40.3,445,383,117,266,421,1117,789,16,586.0,333.0,299.0,221.0,66.0,264.0,661.0,39.9,397.0,369.0,92.0,277.0,392.0,978.0,715.0,10.0
Wolves,646,367,358,227,61,281,685,41.0,404,378,109,269,437,1083,702,23,,,,,,,,,,,,,,,,
