,SCA,SCA,SCA_Types,SCA_Types,SCA_Types,SCA_Types,SCA_Types,SCA_Types,GCA,GCA,GCA_Types,GCA_Types,GCA_Types,GCA_Types,GCA_Types,GCA_Types,SCA_Opp,SCA_Opp,SCA_Types,SCA_Types,SCA_Types,SCA_Types,SCA_Types,SCA_Types,GCA_Opp,GCA_Opp,GCA_Types,GCA_Types,GCA_Types,GCA_Types,GCA_Types,GCA_Types
,SCA,SCA90,PassLive,PassDead,Drib,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,Drib,Sh,Fld,Def,SCA_Opp,SCA90_Opp,PassLive_Opp,PassDead_Opp,Drib_Opp,Sh_Opp,Fld_Opp,Def_Opp,GCA_Opp,GCA90_Opp,PassLive_Opp,PassDead_Opp,Drib_Opp,Sh_Opp,Fld_Opp,Def_Opp
Arsenal,708,18.63,500,59,52,48,33,16,85,2.24,57,5,4,9,4,6,960.0,25.26,690.0,95.0,54.0,47.0,58.0,16.0,86.0,2.26,56.0,10.0,4.0,6.0,10.0,0.0
Aston Villa,827,21.76,599,87,42,36,56,7,72,1.89,48,8,5,4,7,0,1071.0,28.18,788.0,85.0,63.0,66.0,54.0,15.0,107.0,2.82,74.0,8.0,9.0,7.0,7.0,2.0
Bournemouth,668,17.58,471,70,35,38,47,7,63,1.66,36,6,7,8,6,0,976.0,25.68,764.0,61.0,54.0,54.0,26.0,17.0,108.0,2.84,77.0,2.0,8.0,12.0,6.0,3.0
Brighton,804,21.16,599,73,39,48,40,5,65,1.71,44,9,5,2,5,0,874.0,23.0,632.0,66.0,69.0,48.0,43.0,16.0,92.0,2.42,70.0,5.0,5.0,6.0,5.0,1.0
Burnley,667,17.55,459,83,27,44,45,9,71,1.87,47,10,4,6,3,1,951.0,25.03,714.0,71.0,48.0,54.0,46.0,18.0,81.0,2.13,55.0,3.0,8.0,7.0,4.0,4.0
Chelsea,1118,29.42,847,86,56,64,52,13,123,3.24,86,6,10,9,10,2,553.0,14.55,372.0,64.0,31.0,34.0,41.0,11.0,89.0,2.34,62.0,8.0,8.0,5.0,5.0,1.0
Crystal Palace,643,16.92,428,68,56,36,46,9,53,1.39,37,3,4,4,5,0,887.0,23.34,629.0,95.0,48.0,48.0,54.0,13.0,81.0,2.13,64.0,3.0,4.0,7.0,3.0,0.0
Everton,804,21.16,536,86,47,69,51,15,67,1.76,47,4,4,9,3,0,770.0,20.26,549.0,69.0,59.0,40.0,47.0,6.0,95.0,2.5,61.0,7.0,11.0,7.0,9.0,0.0
Leicester City,968,25.47,708,73,75,47,56,9,116,3.05,91,3,11,4,5,2,671.0,17.66,476.0,62.0,39.0,30.0,47.0,17.0,68.0,1.79,48.0,4.0,2.0,2.0,10.0,2.0
Liverpool,1043,27.45,799,77,60,54,36,17,148,3.89,108,11,10,9,8,2,586.0,15.42,430.0,51.0,45.0,30.0,21.0,9.0,51.0,1.34,35.0,7.0,2.0,4.0,3.0,0.0
Manchester City,1356,35.68,1039,72,102,75,53,15,173,4.55,123,6,16,14,12,2,491.0,12.92,339.0,39.0,38.0,28.0,36.0,11.0,59.0,1.55,37.0,5.0,6.0,4.0,5.0,2.0
Manchester Utd,977,25.71,767,50,60,36,56,8,111,2.92,86,4,6,2,12,1,680.0,17.89,481.0,50.0,50.0,40.0,50.0,9.0,56.0,1.47,37.0,5.0,7.0,5.0,2.0,0.0
Newcastle Utd,705,18.55,491,75,55,38,37,9,62,1.63,41,6,4,6,4,1,1022.0,26.89,750.0,90.0,56.0,63.0,53.0,10.0,97.0,2.55,72.0,4.0,7.0,6.0,5.0,3.0
Norwich City,717,18.87,522,56,47,47,35,10,43,1.13,34,2,2,2,1,2,1073.0,28.24,768.0,100.0,66.0,70.0,48.0,21.0,121.0,3.18,79.0,9.0,10.0,11.0,9.0,3.0
Sheffield Utd,630,16.58,457,62,44,38,23,6,63,1.66,47,3,6,6,1,0,767.0,20.18,559.0,58.0,59.0,39.0,47.0,5.0,67.0,1.76,51.0,4.0,4.0,5.0,2.0,1.0
Southampton,841,22.13,559,75,70,53,60,24,77,2.03,41,3,15,8,7,3,767.0,20.18,546.0,74.0,52.0,52.0,36.0,7.0,107.0,2.82,75.0,7.0,12.0,5.0,6.0,2.0
Tottenham,779,20.5,589,43,54,37,38,18,95,2.5,62,3,14,10,4,2,954.0,25.11,660.0,82.0,77.0,63.0,57.0,15.0,74.0,1.95,45.0,6.0,8.0,6.0,7.0,2.0
Watford,724,19.05,499,69,44,42,56,14,58,1.53,34,6,3,4,8,3,884.0,23.26,634.0,61.0,65.0,52.0,59.0,13.0,106.0,2.79,64.0,4.0,11.0,14.0,12.0,1.0
West Ham,736,19.37,515,77,42,43,47,12,89,2.34,62,7,5,7,8,0,885.0,23.29,657.0,72.0,61.0,45.0,41.0,9.0,106.0,2.79,78.0,5.0,11.0,6.0,6.0,0.0
Wolves,801,21.08,541,70,79,47,46,18,83,2.18,53,6,9,8,7,0,,,,,,,,,,,,,,,,
