,Total,Total,Total,Total,Total,Short,Short,Short,Medium,Medium,Medium,Long,Long,Long,Advanced_Passing,Advanced_Passing,Advanced_Passing,Advanced_Passing,Advanced_Passing,Advanced_Passing,Advanced_Passing,Advanced_Passing,Advanced_Passing,Total,Total,Total,Total,Total,Short,Short,Short,Medium,Medium,Medium,Long,Long,Long,Advanced_Passing,Advanced_Passing,Advanced_Passing,Advanced_Passing,Advanced_Passing,Advanced_Passing,Advanced_Passing,Advanced_Passing,Advanced_Passing
,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,Prog,Cmp_Opp,Att_Opp,Cmp%_Opp,TotDist_Opp,PrgDist_Opp,Cmp_Opp,Att_Opp,Cmp%_Opp,Cmp_Opp,Att_Opp,Cmp%_Opp,Cmp_Opp,Att_Opp,Cmp%_Opp,Ast_Opp,xAG_Opp,xA_Opp,A-xAG_Opp,KP_Opp,1/3_Opp,PPA_Opp,CrsPA_Opp,Prog_Opp
Arsenal,16634,20410,81.5,292657,94452,7259,8103,89.6,7300,8331,87.6,1596,2772,57.6,35,31.4,28.5,3.6,298,1164,311,63,1116,13968.0,17668.0,79.1,245849.0,89698.0,6592.0,7433.0,88.7,5474.0,6451.0,84.9,1506.0,2727.0,55.2,30.0,39.1,33.2,-9.1,415.0,1087.0,300.0,85.0,971.0
Aston Villa,11652,15672,74.3,217478,84199,5074,5895,86.1,4810,5882,81.8,1480,3002,49.3,32,34.2,27.7,-2.2,369,908,270,95,899,16142.0,20266.0,79.7,279742.0,100719.0,7760.0,8725.0,88.9,6185.0,7276.0,85.0,1661.0,2984.0,55.7,44.0,46.6,39.9,-2.6,458.0,1350.0,383.0,74.0,1266.0
Bournemouth,12042,16387,73.5,208868,82507,5798,6832,84.9,4689,5821,80.6,1231,2655,46.4,24,30.6,25.7,-6.6,280,921,227,49,896,16667.0,21185.0,78.7,294978.0,98425.0,7405.0,8464.0,87.5,7039.0,8266.0,85.2,1705.0,3186.0,53.5,45.0,42.6,36.9,2.4,415.0,1241.0,366.0,86.0,1211.0
Brighton,15881,20056,79.2,290667,102483,6755,7803,86.6,7139,8265,86.4,1701,3003,56.6,24,31.6,27.3,-7.6,343,1124,294,62,1227,14322.0,18458.0,77.6,247084.0,86934.0,6790.0,7740.0,87.7,5484.0,6563.0,83.6,1527.0,2904.0,52.6,42.0,43.1,32.0,-1.1,376.0,992.0,297.0,63.0,950.0
Burnley,10049,14694,68.4,181797,76085,4700,5595,84.0,3686,4854,75.9,1295,3221,40.2,30,32.4,28.5,-2.4,280,787,217,99,702,15824.0,20627.0,76.7,268946.0,94437.0,7570.0,8683.0,87.2,6129.0,7430.0,82.5,1544.0,3175.0,48.6,38.0,36.6,31.9,1.4,403.0,1105.0,352.0,86.0,1128.0
Chelsea,20958,25213,83.1,352089,108963,9753,10903,89.5,8527,9698,87.9,1843,2989,61.7,46,46.7,42.3,-0.7,459,1463,411,108,1299,12445.0,16600.0,75.0,218822.0,82676.0,5803.0,6816.0,85.1,4884.0,5932.0,82.3,1342.0,2751.0,48.8,36.0,27.4,23.9,8.6,241.0,847.0,216.0,55.0,868.0
Crystal Palace,12274,16395,74.9,212859,86923,5857,6822,85.9,4679,5712,81.9,1307,2747,47.6,20,26.0,24.4,-6.0,265,910,243,47,919,16178.0,20387.0,79.4,283124.0,96926.0,7477.0,8506.0,87.9,6428.0,7601.0,84.6,1703.0,2988.0,57.0,36.0,40.0,36.7,-4.0,380.0,1280.0,328.0,81.0,1176.0
Everton,13433,17736,75.7,248821,94797,5670,6722,84.3,5545,6642,83.5,1728,3126,55.3,32,38.1,31.5,-6.1,340,987,288,93,1023,14366.0,18648.0,77.0,255446.0,94202.0,6485.0,7476.0,86.7,5830.0,6928.0,84.2,1560.0,3010.0,51.8,39.0,34.2,29.6,4.8,317.0,1045.0,274.0,69.0,1032.0
Leicester City,17600,21800,80.7,304570,102448,8018,9017,88.9,7415,8600,86.2,1655,2913,56.8,48,44.9,35.3,3.1,405,1283,313,72,1180,12319.0,16545.0,74.5,215680.0,83967.0,5972.0,6985.0,85.5,4442.0,5529.0,80.3,1439.0,2821.0,51.0,26.0,29.2,27.5,-3.2,290.0,909.0,254.0,71.0,874.0
