,Touches,Touches,Touches,Touches,Touches,Touches,Touches,Dribbles,Dribbles,Dribbles,Dribbles,Dribbles,Receiving,Receiving,Touches_Opp,Touches_Opp,Touches_Opp,Touches_Opp,Touches_Opp,Touches_Opp,Touches_Opp,Dribbles,Dribbles,Dribbles,Dribbles,Dribbles,Receiving,Receiving
,Touches,Def_Pen,Def_3rd,Mid_3rd,Att_3rd,Att_Pen,Live,Succ,Att,Succ%,Mis,Dis,Rec,Prog,Touches_Opp,Def_Pen_Opp,Def_3rd_Opp,Mid_3rd_Opp,Att_3rd_Opp,Att_Pen_Opp,Live_Opp,Succ_Opp,Att_Opp,Succ%_Opp,Mis_Opp,Dis_Opp,Rec_Opp,Prog_Opp
Arsenal,24353,2763,8384,10618,5570,804,24350,411,697,59.0,547,370,16466,1093,21721.0,2235.0,6373.0,9631.0,5946.0,938.0,21714.0,363.0,613.0,59.2,521.0,335.0,13807.0,954.0
Aston Villa,19890,2668,7046,8160,4917,691,19887,352,569,61.9,546,313,11495,879,24283.0,2253.0,6768.0,10823.0,6924.0,1114.0,24278.0,374.0,597.0,62.6,528.0,300.0,15990.0,1244.0
Bournemouth,20778,2558,7479,8660,4848,709,20774,325,602,54.0,571,384,11897,876,25417.0,2222.0,7279.0,11930.0,6426.0,951.0,25411.0,360.0,567.0,63.5,543.0,300.0,16530.0,1198.0
Brighton,24297,2736,8187,10704,5623,760,24295,335,584,57.4,626,399,15708,1204,22633.0,2300.0,7218.0,10187.0,5470.0,864.0,22631.0,397.0,642.0,61.8,550.0,396.0,14153.0,932.0
Burnley,18800,2240,5625,8974,4375,614,18796,246,454,54.2,509,291,9922,690,24387.0,2325.0,7871.0,10540.0,6168.0,890.0,24382.0,345.0,585.0,59.0,518.0,307.0,15643.0,1110.0
Chelsea,29409,2285,8316,13980,7362,1059,29402,460,718,64.1,583,414,20797,1279,21026.0,2703.0,7491.0,9401.0,4346.0,576.0,21024.0,358.0,604.0,59.3,636.0,392.0,12286.0,841.0
Crystal Palace,20833,2395,7284,8983,4817,789,20830,432,698,61.9,611,479,12121,896,24768.0,2106.0,6755.0,11752.0,6452.0,893.0,24767.0,395.0,711.0,55.6,604.0,370.0,16010.0,1160.0
Everton,21914,2522,7397,9516,5228,831,21913,374,609,61.4,593,345,13302,1009,22889.0,2346.0,7371.0,10561.0,5180.0,728.0,22885.0,390.0,672.0,58.0,568.0,389.0,14214.0,1010.0
Leicester City,26145,2196,7811,12196,6353,919,26138,377,688,54.8,602,328,17423,1164,20834.0,2350.0,6664.0,9350.0,5071.0,667.0,20824.0,427.0,725.0,58.9,639.0,444.0,12164.0,856.0
Liverpool,29602,2083,7175,14848,7811,1181,29597,387,658,58.8,607,306,21083,1404,19659.0,3152.0,8307.0,7768.0,3809.0,554.0,19658.0,371.0,589.0,63.0,540.0,332.0,10782.0,689.0
Manchester City,31760,2020,6813,15580,9621,1461,31750,487,721,67.5,456,341,24373,1612,18542.0,3336.0,8345.0,7122.0,3270.0,496.0,18539.0,375.0,605.0,62.0,484.0,284.0,10793.0,560.0
Manchester Utd,25714,2171,7214,11804,6923,874,25700,446,747,59.7,559,396,17571,1242,21418.0,2458.0,7163.0,9291.0,5213.0,694.0,21415.0,380.0,634.0,59.9,572.0,325.0,12975.0,821.0
Newcastle Utd,18851,2415,7121,8155,3825,537,18850,400,674,59.3,594,288,10486,598,27425.0,1882.0,6202.0,13969.0,7479.0,990.0,27423.0,359.0,632.0,56.8,620.0,330.0,19307.0,1353.0
Norwich City,23264,3130,9050,9799,4644,658,23262,427,706,60.5,591,405,14778,851,23680.0,1856.0,5888.0,10701.0,7325.0,1124.0,23673.0,433.0,700.0,61.9,540.0,361.0,15257.0,1185.0
Sheffield Utd,20914,2190,6217,8893,5995,726,20913,346,535,64.7,519,292,11962,881,26534.0,2512.0,8705.0,12083.0,5945.0,780.0,26531.0,385.0,647.0,59.5,550.0,349.0,17822.0,1032.0
Southampton,22134,2135,6212,10729,5451,807,22130,423,680,62.2,654,362,12305,995,22868.0,2417.0,7782.0,9891.0,5415.0,861.0,22863.0,469.0,794.0,59.1,627.0,382.0,13248.0,1015.0
Tottenham,24629,2591,7614,11791,5484,699,24626,449,747,60.1,577,437,15942,1042,23206.0,2187.0,6632.0,10958.0,5860.0,887.0,23199.0,428.0,681.0,62.8,622.0,412.0,14548.0,1063.0
Watford,20010,2149,6261,8877,5100,803,20002,321,576,55.7,549,348,11082,816,25686.0,2354.0,7749.0,12114.0,6108.0,809.0,25677.0,446.0,715.0,62.4,597.0,389.0,16827.0,1142.0
West Ham,20914,2172,6275,9659,5199,737,20910,397,663,59.9,496,322,12297,939,25743.0,2204.0,7266.0,12409.0,6320.0,933.0,25737.0,445.0,745.0,59.7,525.0,396.0,17131.0,1237.0
Wolves,22567,1997,6983,10743,5059,774,22563,509,817,62.3,540,338,14125,940,,,,,,,,,,,,,,
