,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Expected,Expected,Expected,Expected,Expected,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Expected,Expected,Expected,Expected,Expected
,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Gls_Opp,Sh_Opp,SoT_Opp,SoT%_Opp,Sh/90_Opp,SoT/90_Opp,G/Sh_Opp,G/SoT_Opp,Dist_Opp,FK_Opp,PK_Opp,PKatt_Opp,xG_Opp,npxG_Opp,npxG/Sh_Opp,G-xG_Opp,np:G-xG_Opp
Arsenal,56,403,146,36.2,10.61,3.84,0.13,0.36,16.4,19,3,3,47.0,44.6,0.11,9.0,8.4,48.0,545.0,185.0,33.9,14.34,4.87,0.08,0.22,18.2,19.0,7.0,8.0,55.3,48.9,0.09,-7.3,-7.9
Aston Villa,40,453,147,32.5,11.92,3.87,0.09,0.27,17.5,21,1,3,44.3,41.8,0.09,-4.3,-2.8,66.0,602.0,176.0,29.2,15.84,4.63,0.1,0.35,16.8,21.0,5.0,6.0,67.8,63.0,0.11,-1.8,-2.0
Bournemouth,38,385,117,30.4,10.13,3.08,0.09,0.29,17.3,21,4,4,44.8,41.7,0.11,-6.8,-7.7,65.0,552.0,186.0,33.7,14.53,4.89,0.11,0.32,17.9,16.0,5.0,6.0,62.3,57.6,0.11,2.7,2.4
Brighton,35,460,139,30.2,12.11,3.66,0.07,0.24,17.6,11,1,2,45.4,43.8,0.1,-10.4,-9.8,52.0,496.0,166.0,33.5,13.05,4.37,0.1,0.3,16.3,20.0,2.0,2.0,55.0,53.4,0.11,-3.0,-3.4
Burnley,41,384,124,32.3,10.11,3.26,0.1,0.31,16.4,18,3,3,47.4,45.3,0.12,-6.4,-7.3,49.0,534.0,162.0,30.3,14.05,4.26,0.08,0.28,18.3,22.0,4.0,5.0,49.8,45.8,0.09,-0.8,-0.8
Chelsea,69,618,210,34.0,16.26,5.53,0.1,0.3,16.6,29,7,7,69.2,64.4,0.11,-0.2,-2.4,51.0,320.0,113.0,35.3,8.42,2.97,0.15,0.43,16.5,15.0,2.0,2.0,38.6,37.0,0.12,12.4,12.0
Crystal Palace,29,373,115,30.8,9.82,3.03,0.07,0.23,17.0,15,3,3,35.8,33.6,0.09,-6.8,-7.6,48.0,511.0,172.0,33.7,13.45,4.53,0.09,0.28,17.1,25.0,0.0,1.0,57.0,56.2,0.11,-9.0,-8.2
Everton,42,468,159,34.0,12.32,4.18,0.09,0.26,16.4,20,1,1,50.8,50.0,0.11,-8.8,-9.0,53.0,423.0,144.0,34.0,11.13,3.79,0.12,0.35,17.1,23.0,3.0,4.0,48.3,45.2,0.11,4.7,4.8
Leicester City,65,533,183,34.3,14.03,4.82,0.11,0.33,17.4,20,5,7,62.2,56.7,0.11,2.8,3.3,39.0,368.0,125.0,34.0,9.68,3.29,0.08,0.25,17.5,21.0,8.0,10.0,45.5,37.7,0.1,-6.5,-6.7
