,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Penalty_Kicks,Penalty_Kicks,Penalty_Kicks,Penalty_Kicks,Penalty_Kicks,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Penalty_Kicks,Penalty_Kicks,Penalty_Kicks,Penalty_Kicks,Penalty_Kicks
,GA,GA90,SoTA,Saves,Save%,CS,CS%,PKatt,PKA,PKsv,PKm,Save%,GA_Opp,GA90_Opp,SoTA_Opp,Saves_Opp,Save%_Opp,CS_Opp,CS%_Opp,PKatt_Opp,PKA_Opp,PKsv_Opp,PKm_Opp,Save%_Opp
Arsenal,39,1.03,129,93,71.3,12,31.6,3,2,1,0,33.3,55.0,1.45,146.0,93.0,66.4,12.0,31.6,6.0,6.0,0.0,0.0,0.0
Aston Villa,46,1.21,186,133,78.0,15,39.5,6,5,1,0,16.7,55.0,1.45,183.0,131.0,72.7,8.0,21.1,6.0,5.0,0.0,1.0,0.0
Brighton,46,1.21,125,81,68.0,12,31.6,7,6,0,1,0.0,40.0,1.05,140.0,101.0,75.7,12.0,31.6,9.0,6.0,0.0,3.0,0.0
Burnley,55,1.45,179,125,70.9,11,28.9,3,3,0,0,0.0,33.0,0.87,127.0,95.0,76.4,17.0,44.7,3.0,3.0,0.0,0.0,0.0
Chelsea,36,0.95,107,71,69.2,18,47.4,4,3,1,0,25.0,58.0,1.53,203.0,145.0,75.4,10.0,26.3,10.0,8.0,2.0,0.0,20.0
Crystal Palace,66,1.74,174,107,63.8,8,21.1,4,3,1,0,25.0,41.0,1.08,131.0,91.0,71.0,14.0,36.8,4.0,3.0,1.0,0.0,25.0
Everton,48,1.26,161,114,72.0,12,31.6,4,3,0,1,0.0,47.0,1.24,148.0,102.0,70.9,10.0,26.3,5.0,4.0,1.0,0.0,20.0
Fulham,53,1.39,170,118,72.9,9,23.7,7,7,0,0,0.0,27.0,0.71,129.0,102.0,81.4,18.0,47.4,6.0,3.0,1.0,2.0,25.0
Leeds United,54,1.42,198,145,76.8,12,31.6,9,8,1,0,11.1,62.0,1.63,197.0,136.0,70.6,10.0,26.3,4.0,4.0,0.0,0.0,0.0
Leicester City,50,1.32,136,88,66.2,11,28.9,4,4,0,0,0.0,68.0,1.79,182.0,116.0,68.1,6.0,15.8,12.0,10.0,2.0,0.0,16.7
Liverpool,42,1.11,140,97,72.9,12,31.6,8,4,1,3,20.0,68.0,1.79,210.0,145.0,70.5,8.0,21.1,6.0,6.0,0.0,0.0,0.0
Manchester City,32,0.84,100,67,76.0,19,50.0,10,8,2,0,20.0,83.0,2.18,217.0,127.0,64.1,3.0,7.9,9.0,5.0,1.0,3.0,16.7
Manchester Utd,44,1.16,141,98,71.6,13,34.2,4,4,0,0,0.0,73.0,1.92,207.0,135.0,69.6,8.0,21.1,11.0,10.0,1.0,0.0,9.1
Newcastle Utd,62,1.63,188,128,69.1,7,18.4,5,4,1,0,20.0,46.0,1.21,137.0,92.0,70.8,12.0,31.6,7.0,6.0,1.0,0.0,14.3
Sheffield Utd,63,1.66,206,145,70.9,5,13.2,4,3,0,1,0.0,20.0,0.53,96.0,76.0,82.3,21.0,55.3,4.0,3.0,1.0,0.0,25.0
Southampton,68,1.79,178,110,66.3,9,23.7,9,8,1,0,11.1,47.0,1.24,163.0,115.0,74.2,13.0,34.2,6.0,5.0,1.0,0.0,16.7
Tottenham,45,1.18,155,113,77.4,12,31.6,10,10,0,0,0.0,68.0,1.79,172.0,106.0,63.4,6.0,15.8,5.0,5.0,0.0,0.0,0.0
West Brom,76,2.0,240,166,71.3,6,15.8,11,7,1,3,12.5,35.0,0.92,110.0,77.0,71.8,16.0,42.1,4.0,4.0,0.0,0.0,0.0
West Ham,47,1.24,147,103,70.1,11,28.9,5,3,1,1,25.0,62.0,1.63,161.0,100.0,62.7,7.0,18.4,4.0,2.0,1.0,1.0,33.3
Wolves,52,1.37,152,102,70.4,10,26.3,8,7,1,0,12.5,,,,,,,,,,,,
