Rk,Squads,MP,W,D,L,GF,GA,GD,Pts,Pts/MP,xG,xGA,xGD,xGD/90
1,Manchester City,0,-1,-1,2,3,2,1,-4,-0.20999999999999996,6.200000000000003,-0.40000000000000036,6.600000000000001,0.35
2,Manchester Utd,0,-3,-3,6,3,12,-9,-12,-0.6299999999999999,2.3000000000000007,3.1000000000000014,-0.7999999999999989,-0.040000000000000036
3,Liverpool,0,0,-3,3,-10,-2,-8,-3,-0.1499999999999999,-4.399999999999999,-0.6999999999999993,-3.6999999999999993,-0.18999999999999995
4,Chelsea,0,-1,2,-1,4,0,4,-1,-0.050000000000000044,5.800000000000001,0.09999999999999964,5.699999999999999,0.30000000000000004
5,Leicester City,0,-2,-4,6,0,10,-10,-10,-0.53,0.5999999999999979,5.200000000000003,-4.5,-0.24
6,West Ham,0,1,0,-1,2,-3,5,3,0.16000000000000014,-6.0,1.0999999999999979,-7.2,-0.38
7,Tottenham,0,2,-2,0,2,-5,7,4,0.20999999999999996,6.100000000000001,-5.5,11.6,0.61
8,Arsenal,0,-2,1,1,-7,3,-10,-5,-0.27,-5.800000000000001,3.3999999999999986,-9.2,-0.48
9,Leeds United,0,-2,5,-3,-6,-12,6,-1,-0.050000000000000044,5.600000000000001,-12.100000000000001,17.7,0.9299999999999999
10,Everton,0,-5,0,5,1,8,-7,-15,-0.79,0.9000000000000021,0.10000000000000142,0.8,0.04000000000000001
11,Aston Villa,0,-2,1,1,3,8,-5,-5,-0.26,3.299999999999997,0.6999999999999993,2.6,0.14
12,Newcastle Utd,0,0,1,-1,6,4,2,1,0.050000000000000044,9.600000000000001,-8.900000000000002,18.5,0.98
13,Wolves,0,2,-1,-1,6,-2,8,5,0.27,3.299999999999997,-8.299999999999997,11.600000000000001,0.61
14,Crystal Palace,0,0,2,-2,-1,-2,1,2,0.09999999999999987,-2.5,-2.0,-0.5,-0.030000000000000027
15,Southampton,0,4,-1,-3,9,-18,27,11,0.58,0.6999999999999993,-8.399999999999999,9.2,0.48000000000000004
16,Brighton,0,-1,4,-3,4,-2,6,1,0.06000000000000005,10.400000000000002,-6.900000000000002,17.2,0.9
17,Burnley,0,-2,3,-1,-5,-1,-4,-3,-0.16000000000000014,1.6999999999999993,0.0,1.7999999999999998,0.09000000000000002
18,Fulham,0,-1,-5,6,-9,3,-12,-8,-0.41999999999999993,-3.1000000000000014,-0.8000000000000007,-2.3,-0.12
19,West Brom,0,1,1,-2,-5,2,-7,4,0.21000000000000008,1.1000000000000014,2.8999999999999986,-1.799999999999999,-0.08999999999999997
20,Sheffield Utd,0,3,0,-3,4,-9,13,9,0.47,3.099999999999998,-1.8000000000000007,4.799999999999999,0.26
