Rk,Squads,MP,W,D,L,GF,GA,GD,Pts,Pts/MP,xG,xGA,xGD,xGD/90
1,Manchester City,1.0,0.9285714285714286,0.6666666666666666,2.0,1.075,1.1333333333333333,1.04,0.9111111111111111,0.9113924050632911,1.2000000000000002,0.9738562091503268,1.4203821656050957,1.4216867469879517
2,Manchester Utd,1.0,0.75,0.5714285714285714,inf,1.0857142857142856,1.75,0.5263157894736842,0.7209302325581395,0.7212389380530974,1.0795847750865053,1.1614583333333335,0.9175257731958764,0.9215686274509803
3,Liverpool,1.0,1.0,0.5,2.0,0.7435897435897436,0.9090909090909091,0.5294117647058824,0.9166666666666666,0.9206349206349207,0.8777777777777778,0.9678899082568808,0.7375886524822696,0.7432432432432433
4,Chelsea,1.0,0.9,1.5,0.8,1.1481481481481481,1.0,1.4444444444444444,0.9705882352941176,0.9720670391061452,1.2049469964664312,1.0066225165562914,1.4318181818181819,1.4285714285714286
5,Leicester City,1.0,0.8181818181818182,0.2,3.0,1.0,1.5,0.2857142857142857,0.7368421052631579,0.735,1.0217391304347825,1.254901960784314,0.375,0.368421052631579
6,West Ham,1.0,1.1111111111111112,1.0,0.8333333333333334,1.0666666666666667,0.88,2.0,1.096774193548387,1.098159509202454,0.8045602605863192,1.0462184873949578,-0.028571428571428574,-0.02702702702702703
7,Tottenham,1.0,1.25,0.6,1.0,1.0606060606060606,0.8,1.875,1.1379310344827587,1.1372549019607843,1.2595744680851064,0.7985347985347986,-2.0526315789473686,-2.05
8,Arsenal,1.0,0.8,1.3333333333333333,1.1666666666666667,0.7741935483870968,1.1666666666666667,0.23076923076923078,0.8484848484848485,0.8448275862068966,0.798611111111111,1.1717171717171717,-0.022222222222222223,-0.021276595744680854
9,Leeds United,1.0,0.8,inf,0.6666666666666666,0.8235294117647058,0.6363636363636364,7.0,0.9666666666666667,0.9683544303797468,1.224,0.6542857142857142,-0.77,-0.7884615384615384
10,Everton,1.0,0.5454545454545454,1.0,2.25,1.0434782608695652,1.4,-1.3333333333333333,0.5945945945945946,0.5948717948717949,1.0401785714285716,1.004,0.6923076923076923,0.7142857142857143
11,Aston Villa,1.0,0.7777777777777778,1.3333333333333333,1.1428571428571428,1.1153846153846154,1.4210526315789473,0.2857142857142857,0.8333333333333334,0.8354430379746836,1.1341463414634145,1.0277777777777777,-3.3333333333333335,-3.666666666666667
12,Newcastle Utd,1.0,1.0,1.25,0.8888888888888888,1.3,1.1379310344827587,0.7777777777777778,1.0454545454545454,1.043103448275862,1.5680473372781067,0.7351190476190476,-0.10778443113772455,-0.11363636363636365
13,Wolves,1.0,1.4,0.8,0.8888888888888888,1.4,0.9259259259259259,0.3333333333333333,1.25,1.2571428571428571,1.1987951807228914,0.71280276816609,0.05691056910569105,0.061538461538461535
14,Crystal Palace,1.0,1.0,1.6666666666666667,0.8,0.9523809523809523,0.9411764705882353,0.9230769230769231,1.0952380952380953,1.09009009009009,0.8633879781420765,0.9335548172757475,1.042372881355932,1.0483870967741935
15,Southampton,1.0,2.0,0.75,0.7272727272727273,1.4736842105263157,0.5813953488372093,-0.125,1.6875,1.6904761904761905,1.0344827586206897,0.7263843648208469,0.12380952380952381,0.1272727272727273
16,Brighton,1.0,0.8,1.8,0.6666666666666666,1.2222222222222223,0.9166666666666666,-0.0,1.05,1.0571428571428572,1.5148514851485149,0.6729857819905213,-20.499999999999996,-21.5
17,Burnley,1.0,0.6666666666666666,2.0,0.9,0.7368421052631579,0.9642857142857143,1.4444444444444444,0.8571428571428571,0.8558558558558558,1.0904255319148937,1.0,0.7906976744186046,0.7999999999999999
18,Fulham,1.0,0.6666666666666666,0.4444444444444444,1.8571428571428572,0.5,1.12,2.7142857142857144,0.5555555555555556,0.5578947368421053,0.8577981651376146,0.9700374531835205,1.4693877551020407,1.4615384615384615
19,West Brom,1.0,1.5,1.2,0.8333333333333334,0.75,1.054054054054054,1.411764705882353,1.3636363636363635,1.3620689655172415,1.0632183908045978,1.0892307692307692,1.119205298013245,1.1125
20,Sheffield Utd,1.0,2.5,1.0,0.8125,1.5,0.75,0.5357142857142857,2.2857142857142856,2.27027027027027,1.2094594594594592,0.94375,0.7209302325581396,0.7142857142857143
