,Goals,Goals,Goals,Goals,Goals,Expected,Expected,Expected,Expected,Launched,Launched,Launched,Passes,Passes,Passes,Passes,Goal_Kicks,Goal_Kicks,Goal_Kicks,Crosses,Crosses,Crosses,Sweeper,Sweeper,Sweeper,Goals,Goals,Goals,Goals,Goals,Expected,Expected,Expected,Expected,Launched,Launched,Launched,Passes,Passes,Passes,Passes,Goal_Kicks,Goal_Kicks,Goal_Kicks,Crosses,Crosses,Crosses,Sweeper,Sweeper,Sweeper
,GA,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Cmp%,Att,Thr,Launch%,AvgLen,Att,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist,GA_Opp,PKA_Opp,FK_Opp,CK_Opp,OG_Opp,PSxG_Opp,PSxG/SoT_Opp,PSxG+/-_Opp,/90_Opp,Cmp_Opp,Att_Opp,Cmp%_Opp,Att_Opp,Thr_Opp,Launch%_Opp,AvgLen_Opp,Att_Opp,Launch%_Opp,AvgLen_Opp,Opp_Opp,Stp_Opp,Stp%_Opp,#OPA_Opp,#OPA/90_Opp,AvgDist_Opp
Arsenal,48,5,0,3,1,47.6,0.29,0.6,0.02,151,533,28.3,1070,175,34.9,33.3,218,73.4,54.3,487,32,6.6,61,1.61,15.6,61.0,5.0,1.0,13.0,1.0,52.4,0.24,-7.6,-0.2,214.0,563.0,38.0,1100.0,164.0,35.6,33.5,282.0,60.6,45.1,498.0,25.0,5.0,55.0,1.45,16.5
Aston Villa,54,4,2,5,2,46.5,0.29,-5.5,-0.14,157,442,35.5,882,176,36.4,33.6,301,40.2,35.0,513,40,7.8,34,0.89,14.8,52.0,3.0,0.0,7.0,2.0,45.0,0.27,-5.0,-0.13,157.0,412.0,38.1,888.0,182.0,31.8,32.6,261.0,49.8,40.8,530.0,21.0,4.0,41.0,1.08,14.4
Brentford,56,5,1,8,2,49.4,0.25,-4.6,-0.12,298,768,38.8,1357,184,43.1,35.4,298,61.4,45.5,626,37,5.9,58,1.53,16.4,48.0,6.0,0.0,6.0,2.0,43.8,0.26,-2.2,-0.06,182.0,547.0,33.3,892.0,147.0,45.2,38.2,236.0,61.0,46.2,509.0,34.0,6.7,56.0,1.47,15.7
Brighton,44,3,1,6,0,42.5,0.28,-1.5,-0.04,161,568,28.3,1317,188,31.4,32.8,241,64.3,48.8,535,60,11.2,36,0.95,12.8,42.0,4.0,0.0,6.0,2.0,39.5,0.24,-0.5,-0.01,153.0,483.0,31.7,892.0,202.0,37.2,34.2,281.0,53.7,41.6,564.0,21.0,3.7,43.0,1.13,15.4
Burnley,53,5,1,7,2,47.5,0.25,-3.5,-0.09,346,870,39.8,850,154,69.8,46.5,304,91.1,61.3,642,46,7.2,84,2.21,17.4,34.0,1.0,1.0,6.0,2.0,32.1,0.26,0.1,0.0,191.0,587.0,32.5,1108.0,196.0,38.9,34.8,255.0,61.2,45.3,590.0,47.0,8.0,51.0,1.34,13.8
Chelsea,33,6,0,2,1,31.6,0.22,-0.4,-0.01,91,222,41.0,896,183,19.0,25.5,198,26.3,25.2,419,30,7.2,54,1.42,15.4,76.0,8.0,1.0,8.0,1.0,65.3,0.28,-9.7,-0.25,206.0,576.0,35.8,995.0,180.0,41.5,36.0,287.0,56.8,43.8,604.0,34.0,5.6,34.0,0.89,13.2
Crystal Palace,46,3,2,11,2,38.5,0.24,-5.5,-0.14,130,375,34.7,999,222,27.0,28.6,267,39.3,32.7,525,28,5.3,43,1.13,15.1,50.0,6.0,1.0,2.0,0.0,43.0,0.25,-7.0,-0.18,201.0,511.0,39.3,921.0,141.0,42.7,35.4,239.0,49.4,41.0,505.0,30.0,5.9,36.0,0.95,13.3
Everton,66,2,2,13,5,55.9,0.29,-5.1,-0.13,292,844,34.6,927,124,65.2,46.5,298,80.5,59.5,568,26,4.6,37,0.97,14.4,43.0,6.0,0.0,6.0,1.0,39.4,0.25,-2.6,-0.07,141.0,399.0,35.3,940.0,206.0,29.3,31.5,280.0,44.3,40.1,486.0,34.0,7.0,37.0,0.97,14.9
Leeds United,79,5,3,10,1,62.4,0.26,-15.6,-0.41,109,413,26.4,1109,276,27.5,29.3,291,37.1,33.2,445,23,5.2,47,1.24,14.4,42.0,5.0,1.0,8.0,0.0,41.2,0.25,-0.8,-0.02,206.0,550.0,37.5,1030.0,196.0,34.4,33.1,308.0,63.6,46.4,481.0,26.0,5.4,51.0,1.34,15.4
