,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Aerial_Duels,Aerial_Duels,Aerial_Duels,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Aerial_Duels,Aerial_Duels,Aerial_Duels
,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,CrdY_Opp,CrdR_Opp,2CrdY_Opp,Fls_Opp,Fld_Opp,Off_Opp,Crs_Opp,Int_Opp,TklW_Opp,PKwon_Opp,PKcon_Opp,OG_Opp,Recov_Opp,Won_Opp,Lost_Opp,Won%_Opp
Arsenal,67,4,3,365,357,66,633,296,311,6,6,1,1861,463,572,44.7,69.0,3.0,2.0,375.0,346.0,64.0,606.0,364.0,338.0,5.0,8.0,1.0,1817.0,572.0,463.0,55.3
Aston Villa,81,2,1,401,504,52,670,340,382,2,6,2,1850,538,561,49.0,83.0,1.0,0.0,512.0,392.0,39.0,685.0,339.0,343.0,5.0,3.0,2.0,1922.0,561.0,538.0,51.0
Brentford,65,3,2,371,363,66,640,393,342,6,5,2,2061,717,728,49.6,50.0,3.0,0.0,377.0,357.0,71.0,812.0,381.0,285.0,5.0,6.0,2.0,2204.0,728.0,717.0,50.4
Brighton,72,2,0,393,355,53,728,358,403,4,4,0,2154,569,498,53.3,80.0,0.0,0.0,373.0,373.0,42.0,680.0,389.0,358.0,3.0,7.0,2.0,2094.0,498.0,569.0,46.7
Burnley,68,2,0,394,332,101,747,410,324,2,5,2,2027,827,733,53.0,44.0,0.0,0.0,339.0,381.0,54.0,861.0,281.0,306.0,3.0,2.0,2.0,2068.0,733.0,827.0,47.0
Chelsea,63,1,0,409,392,69,745,347,348,8,6,1,2084,538,486,52.5,69.0,4.0,1.0,406.0,389.0,67.0,533.0,376.0,356.0,4.0,9.0,1.0,1921.0,486.0,538.0,47.5
Crystal Palace,69,1,1,414,481,63,643,333,373,6,4,2,2103,610,619,49.6,74.0,3.0,2.0,499.0,391.0,53.0,664.0,378.0,440.0,2.0,8.0,0.0,2109.0,619.0,610.0,50.4
Everton,82,6,2,368,388,53,653,365,402,7,2,5,2023,634,725,46.7,72.0,0.0,0.0,400.0,345.0,43.0,719.0,333.0,336.0,1.0,7.0,1.0,2049.0,725.0,634.0,53.3
Leeds United,101,3,0,469,368,63,648,395,436,4,5,1,2260,470,626,42.9,74.0,3.0,3.0,386.0,465.0,53.0,568.0,398.0,351.0,4.0,5.0,0.0,2228.0,626.0,470.0,57.1
Leicester City,55,1,0,356,396,60,556,367,384,1,9,1,2015,530,553,48.9,60.0,0.0,0.0,406.0,350.0,73.0,738.0,400.0,370.0,7.0,2.0,0.0,2104.0,553.0,530.0,51.1
Liverpool,50,1,0,363,286,63,897,340,320,5,0,1,2265,571,467,55.0,63.0,3.0,0.0,311.0,348.0,144.0,460.0,487.0,350.0,0.0,8.0,0.0,2137.0,467.0,571.0,45.0
Manchester City,42,1,0,321,330,66,869,279,284,7,1,0,1967,482,397,54.8,68.0,3.0,2.0,342.0,306.0,94.0,397.0,374.0,359.0,1.0,9.0,3.0,1665.0,397.0,482.0,45.2
Manchester Utd,77,2,1,396,320,88,659,340,358,3,5,3,2071,555,443,55.6,48.0,1.0,0.0,333.0,386.0,72.0,648.0,430.0,347.0,3.0,5.0,1.0,2039.0,443.0,555.0,44.4
Newcastle Utd,81,2,1,392,366,71,592,360,382,1,6,2,1835,677,619,52.2,75.0,3.0,0.0,382.0,380.0,58.0,685.0,268.0,364.0,5.0,3.0,3.0,1967.0,619.0,677.0,47.8
Norwich City,57,1,1,356,431,55,568,381,368,2,12,2,1887,493,598,45.2,62.0,2.0,1.0,445.0,342.0,56.0,793.0,330.0,363.0,8.0,3.0,2.0,2085.0,598.0,493.0,54.8
Southampton,65,2,1,402,363,42,711,446,340,4,2,2,2224,673,726,48.1,64.0,1.0,1.0,377.0,390.0,65.0,721.0,349.0,356.0,2.0,4.0,2.0,2198.0,726.0,673.0,51.9
Tottenham,69,1,1,386,406,62,632,355,349,3,2,1,1893,560,500,52.8,83.0,6.0,4.0,411.0,369.0,43.0,740.0,368.0,369.0,0.0,5.0,6.0,1925.0,500.0,560.0,47.2
Watford,63,3,3,442,352,53,610,444,356,2,7,3,2154,711,749,48.7,64.0,1.0,1.0,364.0,428.0,55.0,801.0,347.0,438.0,6.0,2.0,1.0,2253.0,749.0,711.0,51.3
West Ham,52,3,2,323,276,59,802,374,301,3,6,2,1970,639,628,50.4,49.0,3.0,1.0,294.0,307.0,35.0,758.0,337.0,323.0,5.0,6.0,2.0,1901.0,628.0,639.0,49.6
Wolves,62,2,2,366,335,61,587,389,377,1,10,1,2104,461,490,48.5,,,,,,,,,,,,,,,,
