,Total,Total,Total,Total,Short,Short,Short,Medium,Medium,Medium,Long,Long,Long,Advanced_Passing,Advanced_Passing,Advanced_Passing,Advanced_Passing,Advanced_Passing,Advanced_Passing,Advanced_Passing,Advanced_Passing,Advanced_Passing,Total,Total,Total,Total,Short,Short,Short,Medium,Medium,Medium,Long,Long,Long,Advanced_Passing,Advanced_Passing,Advanced_Passing,Advanced_Passing,Advanced_Passing,Advanced_Passing,Advanced_Passing,Advanced_Passing,Advanced_Passing
,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,Prog,Att_Opp,Cmp%_Opp,TotDist_Opp,PrgDist_Opp,Cmp_Opp,Att_Opp,Cmp%_Opp,Cmp_Opp,Att_Opp,Cmp%_Opp,Cmp_Opp,Att_Opp,Cmp%_Opp,Ast_Opp,xAG_Opp,xA_Opp,A-xAG_Opp,KP_Opp,1/3_Opp,PPA_Opp,CrsPA_Opp,Prog_Opp
Arsenal,19844,81.5,280868,91115,7325,8210,89.2,7187,8140,88.3,1326,2584,51.3,41,46.4,34.6,-5.4,437,1354,329,74,1080,18005.0,79.0,245457.0,86662.0,6562.0,7418.0,88.5,5816.0,6793.0,85.6,1365.0,2710.0,50.4,33.0,37.3,27.7,-4.3,316.0,996.0,255.0,71.0,838.0
Aston Villa,16499,77.3,220973,85417,5916,6803,87.0,5184,6136,84.5,1239,2571,48.2,42,37.9,30.0,4.1,356,1019,293,70,936,19079.0,79.8,275484.0,94516.0,6574.0,7464.0,88.1,6449.0,7501.0,86.0,1718.0,2960.0,58.0,35.0,37.7,30.1,-2.7,348.0,1094.0,276.0,61.0,1030.0
Brentford,16272,71.8,211867,85979,5201,6312,82.4,4797,6120,78.4,1357,2852,47.6,33,36.6,33.8,-3.6,311,942,262,81,896,20238.0,77.9,263462.0,90457.0,7861.0,8970.0,87.6,5946.0,7075.0,84.0,1434.0,2945.0,48.7,41.0,38.8,32.3,2.2,359.0,1331.0,339.0,101.0,1030.0
Brighton,20588,79.7,288827,95329,7195,8172,88.0,7130,8208,86.9,1579,2953,53.5,30,37.3,31.5,-7.3,356,1187,342,72,1064,17380.0,76.5,231328.0,84984.0,6148.0,7119.0,86.4,5425.0,6514.0,83.3,1321.0,2648.0,49.9,34.0,34.9,25.7,-0.9,342.0,996.0,255.0,58.0,886.0
Burnley,14107,67.0,178782,80196,4296,5327,80.6,3306,4472,73.9,1457,3216,45.3,26,34.1,28.0,-8.1,286,877,240,84,729,21508.0,78.2,288636.0,99222.0,8022.0,9188.0,87.3,6678.0,7936.0,84.1,1592.0,3140.0,50.7,36.0,46.1,35.7,-10.1,459.0,1220.0,407.0,83.0,1213.0
Chelsea,24888,85.1,342325,113096,10628,11617,91.5,8318,9322,89.2,1524,2514,60.6,52,51.5,42.6,0.5,439,1614,437,66,1345,15424.0,75.7,201519.0,77485.0,5484.0,6336.0,86.6,4597.0,5508.0,83.5,1187.0,2493.0,47.6,20.0,25.6,21.0,-5.6,232.0,830.0,209.0,60.0,732.0
Crystal Palace,19081,78.5,265538,92511,6553,7495,87.4,6521,7610,85.7,1467,2871,51.1,31,36.7,30.2,-5.7,305,990,270,75,912,18470.0,77.2,250767.0,90243.0,6524.0,7560.0,86.3,5776.0,6883.0,83.9,1503.0,2862.0,52.5,30.0,31.9,29.8,-1.9,304.0,1193.0,287.0,74.0,1012.0
Everton,14557,71.2,184800,76152,4888,5859,83.4,3844,4901,78.4,1215,2704,44.9,29,33.5,25.1,-4.5,323,897,255,77,802,22270.0,80.9,314878.0,107052.0,8044.0,9158.0,87.8,7922.0,9036.0,87.7,1610.0,2872.0,56.1,46.0,45.8,36.2,0.2,372.0,1448.0,329.0,74.0,1238.0
Leeds United,18288,76.5,242663,89161,6271,7285,86.1,5921,7050,84.0,1325,2754,48.1,26,35.8,25.1,-9.8,347,995,272,53,1105,17051.0,76.3,231584.0,94495.0,5809.0,6806.0,85.4,5455.0,6544.0,83.4,1383.0,2657.0,52.1,59.0,52.8,38.0,6.2,436.0,1003.0,309.0,58.0,1032.0
Leicester City,20137,80.1,269547,94214,7751,8789,88.2,6573,7579,86.7,1329,2581,51.5,46,37.5,26.9,8.5,312,1025,254,57,1008,18823.0,78.8,262901.0,92485.0,6675.0,7635.0,87.4,6259.0,7300.0,85.7,1512.0,2798.0,54.0,36.0,47.1,38.1,-11.1,415.0,1210.0,342.0,77.0,1099.0
Liverpool,25552,82.8,370621,127116,9420,10506,89.7,9245,10569,87.5,2000,3211,62.3,71,67.9,56.2,3.1,527,1878,511,92,1666,15214.0,72.8,197409.0,78993.0,5182.0,6086.0,85.1,4238.0,5248.0,80.8,1287.0,2809.0,45.8,18.0,30.3,24.0,-12.3,227.0,750.0,199.0,51.0,708.0
Manchester City,27902,87.5,412596,117956,11713,12605,92.9,10158,11162,91.0,1972,2895,68.1,63,70.5,57.1,-7.5,536,2110,535,74,1589,13251.0,75.3,181301.0,71707.0,4365.0,5046.0,86.5,4222.0,4971.0,84.9,1104.0,2399.0,46.0,23.0,20.2,17.4,2.8,182.0,590.0,151.0,35.0,572.0
Manchester Utd,20641,80.9,280259,93094,8162,9234,88.4,6398,7436,86.0,1548,2626,58.9,46,47.8,37.1,-1.8,407,1315,312,65,1120,18933.0,79.5,256170.0,90552.0,7180.0,8073.0,88.9,6013.0,7001.0,85.9,1373.0,2712.0,50.6,41.0,44.1,33.8,-3.1,367.0,1088.0,303.0,61.0,1015.0
Newcastle Utd,14036,72.7,188373,77685,4545,5432,83.7,3917,4880,80.3,1343,2746,48.9,23,30.4,23.3,-7.4,308,791,193,55,641,21215.0,81.2,291031.0,95996.0,8392.0,9334.0,89.9,6907.0,8022.0,86.1,1472.0,2768.0,53.2,43.0,46.4,36.0,-3.4,398.0,1419.0,330.0,60.0,1225.0
Norwich City,16070,75.7,217007,80059,5578,6484,86.0,4912,5949,82.6,1369,2757,49.7,16,26.3,23.7,-10.3,264,739,226,46,778,21657.0,81.7,302422.0,101964.0,8331.0,9312.0,89.5,7126.0,8252.0,86.4,1671.0,2885.0,57.9,57.0,59.5,43.7,-2.5,468.0,1508.0,392.0,82.0,1234.0
Southampton,16940,73.8,211010,80108,6090,7173,84.9,4893,6093,80.3,1112,2591,42.9,26,35.8,28.7,-9.8,353,1016,249,58,969,18812.0,76.3,252156.0,96225.0,6549.0,7740.0,84.6,5804.0,7009.0,82.8,1499.0,2833.0,52.9,47.0,48.0,34.4,-1.0,365.0,1185.0,338.0,82.0,1074.0
Tottenham,20696,83.1,283871,93464,8270,9143,90.5,6856,7812,87.8,1376,2371,58.0,50,50.3,41.3,-0.3,379,1172,338,81,1111,19252.0,80.9,276489.0,89355.0,6902.0,7766.0,88.9,6689.0,7670.0,87.2,1575.0,2812.0,56.0,29.0,34.5,35.7,-5.5,359.0,1222.0,260.0,65.0,963.0
Watford,14640,71.2,193941,80051,4505,5496,82.0,4270,5325,80.2,1330,2903,45.8,26,36.1,22.4,-10.1,298,834,213,70,783,21809.0,79.5,306184.0,104580.0,7667.0,8781.0,87.3,7477.0,8759.0,85.4,1713.0,3083.0,55.6,56.0,55.8,41.0,0.2,425.0,1434.0,381.0,102.0,1289.0
West Ham,18377,78.0,251139,89183,6626,7492,88.4,5789,6856,84.4,1479,2906,50.9,46,42.4,32.4,3.6,320,1106,271,87,941,20172.0,80.5,274833.0,94809.0,7672.0,8611.0,89.1,6637.0,7768.0,85.4,1391.0,2684.0,51.8,38.0,43.3,36.6,-5.3,415.0,1252.0,344.0,78.0,1088.0
Wolves,19103,79.8,275608,92838,6533,7415,88.1,6610,7664,86.2,1718,3005,57.2,22,29.0,23.4,-7.0,294,1096,212,57,910,,,,,,,,,,,,,,,,,,,,,,
