,Rk,Squad,MP,W,D,L,GF,GA,GD,Pts,Pts/MP,xG,xGA,xGD,xGD/90,Last 5,Attendance,M_G_Indv
0,1,Arsenal,19,16,2,1,45,16,29,50,2.63,37.3,17.0,20.3,1.07,W W D W W,60175, 8
1,2,Manchester City,20,14,3,3,53,20,33,45,2.25,41.4,15.6,25.8,1.29,D W L W W,53185, 25
2,3,Newcastle Utd,20,10,9,1,33,11,22,39,1.95,32.8,17.7,15.1,0.75,W D D W D,52187, 9
3,4,Manchester Utd,20,12,3,5,32,25,7,39,1.95,29.6,23.5,6.0,0.3,W W W D L,73872, 9
4,5,Tottenham,21,11,3,7,40,31,9,36,1.71,30.5,25.5,5.0,0.24,L W L L W,61686, 16
5,6,Brighton,19,9,4,6,37,27,10,31,1.63,29.1,23.9,5.2,0.27,W L W W D,31474, 7
6,7,Fulham,21,9,4,8,32,30,2,31,1.48,28.5,35.4,-7.0,-0.33,W W W L L,23270, 11
7,8,Brentford,20,7,9,4,32,28,4,30,1.5,27.4,25.7,1.7,0.09,D W W W D,17079, 13
8,9,Liverpool,19,8,5,6,34,25,9,29,1.53,33.5,27.1,6.4,0.34,W W L L D,53228, 7
9,10,Chelsea,20,8,5,7,22,21,1,29,1.45,23.8,26.4,-2.5,-0.13,D L L W D,39947, 5
10,11,Aston Villa,20,8,4,8,23,27,-4,28,1.4,24.6,26.5,-1.9,-0.1,L W D W W,41584, 6
11,12,Crystal Palace,20,6,6,8,18,27,-9,24,1.2,18.3,27.6,-9.3,-0.47,W L L D D,24712, 6
12,13,Nott'ham Forest,20,5,6,9,16,35,-19,21,1.05,23.1,30.4,-7.4,-0.37,L D W W D,29085, 4
13,14,Leicester City,20,5,3,12,28,35,-7,18,0.9,22.7,32.1,-9.4,-0.47,L L L L D,31646, 7
14,15,Leeds United,19,4,6,9,26,33,-7,18,0.95,25.8,29.7,-3.9,-0.21,L D D L D,36441, 10
15,16,West Ham,20,5,3,12,17,25,-8,18,0.9,25.6,22.3,3.3,0.17,L L D L W,62449, 4
16,17,Wolves,20,4,5,11,12,30,-18,17,0.85,18.9,28.9,-10.0,-0.5,W L D W L,31612, 5
17,18,Bournemouth,20,4,5,11,19,42,-23,17,0.85,15.2,33.1,-17.9,-0.89,L L L L D,10338, 4
18,19,Everton,20,3,6,11,15,28,-13,15,0.75,20.4,33.5,-13.1,-0.65,L D L L L,39213, 3
19,20,Southampton,20,4,3,13,17,35,-18,15,0.75,19.7,26.1,-6.4,-0.32,L L L W L,30609, 5
